CurveId;CurveName;CountryCode;CountryName;FuelType;EPSI FuelType
115693778;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;Thermal;oil;B06;FossilOil";DE;Germany;OIL;ST-Oil
115693779;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;Res;;B12;HydroWaterReservoir";DE;Germany;HYDRO-RESERVOIR;Hydro-Res
115693781;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;PwrGen.Wind.Offsh;;B18;WindOffshore";DE;Germany;WIND-OFFSHORE;Wind
115693787;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;Thermal;CH4;B04;FossilGas";DE;Germany;GAS;CCGT
115693788;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;nuc;Nuclearfuel;B14;Nuclear";DE;Germany;NUCLEAR;ST-Nuclear
115693791;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;PwrGen.Solar;;B16;Solar";DE;Germany;SOLAR;Solar
115693792;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;Thermal;Coal.Bit;B05;FossilHardcoal";DE;Germany;COAL;ST-Coal
115693793;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;Pump;;B10;HydroPumpedStorage";DE;Germany;HYDRO-PUMPED-STORAGE;Hydro-PS
910000165;EntsoE_ActualGeneration_PumpedStorage_CONS;DE;Germany;HYDRO-PUMPED-STORAGE;Hydro-PS-C
115693795;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;Thermal;Lignite;B02;FossilBrowncoal/Lignite";DE;Germany;LIGNITE;ST-Lignite
115693797;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;PwrGen.Wind.Onsh;;B19;WindOnshore";DE;Germany;WIND-ONSHORE;Wind
115693800;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;PwrGen;Garbage;B17;Waste";DE;Germany;WASTE;ST-Waste
115693803;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;PwrGen;;B15;Otherrenewable";DE;Germany;RENEWABLE;ST-Biomass
115693804;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;Geothermal;;B09;Geothermal";DE;Germany;GEOTHERMAL;ST-Geo
115693805;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;RoR;;B11;HydroRun-of-riverandpoundage";DE;Germany;HYDRO-RUN-OF-RIVER;Hydro-RoR
115693807;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;Thermal;Biomass;B01;Biomass";DE;Germany;BIOMASS;ST-Biomass
115693808;"ENTSO-E.PRO.TECH.A;PWR;ENTSOE;UTC;A;H.1;10Y1001A1001A82H;PRO;min.15;MW;PwrGen;;B20;Other";DE;Germany;OTHER;Engine
910000240;EntsoE_ActualGeneration_FR_WaterReservoir_PROD;FR;France;HYDRO-RESERVOIR;Hydro-Res
910000237;EntsoE_ActualGeneration_FR_PumpedStorage_PROD;FR;France;HYDRO-PUMPED-STORAGE;Hydro-PS
910000236;EntsoE-ActualGeneration-FR-Oil;FR;France;OIL;ST-Oil
910000239;EntsoE_ActualGeneration_FR_RoR_PROD;FR;France;HYDRO-RUN-OF-RIVER;Hydro-RoR
910000241;EntsoE-ActualGeneration-FR-Nuclear;FR;France;NUCLEAR;ST-Nuclear
910000243;EntsoE-ActualGeneration-FR-Waste;FR;France;WASTE;ST-Waste
910000232;EntsoE-ActualGeneration-FR-Biomass;FR;France;BIOMASS;ST-Biomass
910000244;EntsoE-ActualGeneration-FR-WindOnshore;FR;France;WIND-ONSHORE;Wind
910000242;EntsoE-ActualGeneration-FR-Solar;FR;France;SOLAR;Solar
910000234;EntsoE_ActualGeneration_FR_HardCoal_PROD;FR;France;COAL;ST-Coal
910000233;EntsoE-ActualGeneration-FR-Gas;FR;France;GAS;CCGT
910000144;EntsoE-ActualGeneration-BE-Nuclear;BE;Belgium;NUCLEAR;ST-Nuclear
910000145;EntsoE-ActualGeneration-BE-Other;BE;Belgium;OTHER;Engine
910000141;EntsoE-ActualGeneration-BE-Oil;BE;Belgium;OIL;ST-Oil
910000143;EntsoE-ActualGeneration-BE-RoR;BE;Belgium;HYDRO-RUN-OF-RIVER;Hydro-RoR
910000147;EntsoE-ActualGeneration-BE-Waste;BE;Belgium;WASTE;ST-Waste
910000140;EntsoE-ActualGeneration-BE-HardCoal;BE;Belgium;COAL;ST-Coal
910000138;EntsoE-ActualGeneration-BE-Biomass;BE;Belgium;BIOMASS;ST-Biomass
910000146;EntsoE-ActualGeneration-BE-Solar;BE;Belgium;SOLAR;Solar
910000149;EntsoE-ActualGeneration-BE-WindOnshore;BE;Belgium;WIND-ONSHORE;Wind
